-30769, 0, 10425, 4225330, 9, -4739767131500046592
-30769, -27203, 10425, 4225330, 9, -4739767131500046592
-30769, -27203, 10425, 4225330, 9, -4739767131500046592
-30769, -27203, 10425, 4225330, 9, -4739767131500046592
-30769, -27203, 10425, 4225330, 9, -4739767131500046592
-21562, 0, 32738, 4225330, 9, -4739767131500046592
-21562, -31692, 32738, 4225330, 9, -4739767131500046592
-21562, -31692, 32738, 4225330, 9, -4739767131500046592
-21562, -31692, 32738, 4225330, 9, -4739767131500046592
-21562, -31692, 32738, 4225330, 9, -4739767131500046592
0, 0, 0, 4225330, 9, -4739767131500046592
23016, 18889, 0, 0, 0, 0
23016, 18889, -12605, 25330, 0, 0
23016, 18889, -12605, 25330, 20082, 0
23016, 18889, -12605, 25330, 20082, 3703
23016, 18889, -12605, 25330, 20082, 3703
-29260, 31546, 0, 0, 0, 0
-29260, 31546, -21230, -15645, 0, 0
-29260, 31546, -21230, -15645, 27822, 0
-29260, 31546, -21230, -15645, 27822, 1425
-29260, 31546, -21230, -15645, 27822, 1425
0, 0, 0, 0, 0, 0
