23215, -11705, 0
23215, -11705, -14352
23215, -11705, -14352
23215, -11705, -14352
23215, -11705, -14352
23311, 5135, 0
23311, 5135, 22651
23311, 5135, 22651
23311, 5135, 22651
23311, 5135, 22651
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
-28033, -14200, 0
-28033, -14200, -27034
-28033, -14200, -27034
-28033, -14200, -27034
-28033, -14200, -27034
-250, 22241, 0
-250, 22241, 15960
-250, 22241, 15960
-250, 22241, 15960
-250, 22241, 15960
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
25700, 25600, -10483
1673, 2500, 25600
-15260, 9, 0
0, 0, 0
100, 0, 0
23215, 71, 0
25615, 123, -23138
7620, 141, -10378
2244, 0, 0
0, 0, 0
0, 256, 0
0, 1536, 1542
100, 0, 0
-4801, 24374, -7913
196, 0, 0
155, 13357, 13568
2500, 0, 0
-3513, 0, 0
25855, 170, 0
25755, 25700, 25700
0, 0, 0
2244, -1024, 0
2500, 0, 0
23140, 25600, -10483
7620, 100, 100
-15105, 9, 0
931, 3, 0
511, 0, 0
256, 0, 2304
12850, 13617, 0
0, 0, 0
0, 0, -27136
-15345, 9, 23040
0, 2500, 0
0, 256, 100
100, 0, 0
100, 0, 0
2500, 0, 256
256, 0, 0
2500, 0, 0
4, 0, 0
0, 25600, -15360
7483, 28527, 28527
25700, 25700, 25700
0, 0, 0
98, 0, -31487
2500, 0, 256
7483, 28527, 28527
0, 256, 249
0, 0, 2500
175, 0, 32
3084, 25612, 25600
7620, 13, 0
0, 25603, 0
0, 0, 0
25600, 2313, 1
2244, 0, 0
7483, -30865, 535
2500, 255, 5
315, 0, 0
0, 0, 1
45, 0, 0
25755, 0, 0
2500, 8, 0
1, 0, 0
100, 11520, 14132
23140, 25600, -10483
0, 13362, 13618
0, 0, 1
255, 0, 25601
0, 0, 0
16559, 254, 0
22959, 327, 0
0, 2816, -27965
-22172, -14437, 18897
0, 0, -32768
1, 0, 25600
-15616, 1, 0
100, 0, 0
155, 0, 0
137, 0, 0
25700, 25600, 269
0, 12545, -20102
-25594, 16300, 12859
211, 0, 0
4702, 0, 0
2500, 196, 0
24637, -19036, 17408
1, 0, 0
2500, 0, 0
456, 0, 356
0, 0, 0
0, 0, 0
7483, 28527, 28527
0, 0, 257
23215, 71, 0
25850, 0, 0
233, 0, 0
1, 0, 0
-14908, 9, 100
1, 0, 0
0, 255, 100
-178, 2500, 0
0, 0, 1
0, 4096, 0
0, 0, 22528
0, 25600, 0
1, 0, 0
0, 0, 0
256, 0, 2304
25901, 17240, 12856
2, 0, 0
15, 0, 22273
0, 0, 0
0, 0, 22784
0, 0, 0
196, -256, 32512
100, 0, 1
27311, 203, 0
1, 0, 0
1636, -21379, -16976
23140, 24832, -10483
24637, -19036, 17408
2500, 256, 256
1, 0, 0
1, 0, 0
-32126, 0, 0
255, 0, 4096
25606, 0, 0
0, 0, 0
25606, 0, 25606
-15358, 9, 0
15, 0, 0
24637, -19036, 17408
11520, 14642, 13369
0, 0, 2304
71, 0, 0
6527, 0, 0
0, 0, 0
26879, -27757, -27757
10537, 10537, 10537
2756, 0, 0
25606, 0, -256
