-4331, 0, -30376, 0
-4331, -26718, -30376, -13542
-4331, -26718, -30376, -13542
-4331, -26718, -30376, -13542
-4331, -26718, -30376, -13542
4768, 0, 10975, 0
4768, -11436, 10975, -17178
4768, -11436, 10975, -17178
4768, -11436, 10975, -17178
4768, -11436, 10975, -17178
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
14299, 0, 8132, 0
14299, -11870, 8132, 7456
14299, -11870, 8132, 7456
14299, -11870, 8132, 7456
14299, -11870, 8132, 7456
9014, 0, 766, 0
9014, 6159, 766, 26347
9014, 6159, 766, 26347
9014, 6159, 766, 26347
9014, 6159, 766, 26347
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
11663, 12340, 14389, 14137
28974, 9766, -32537, 9867
0, 0, 256, 65
0, 16641, 0, 0
0, 31868, 0, 257
0, 0, 9509, 0
0, 0, 256, 256
0, 0, 256, 1537
26214, 14392, 26214, 14392
9252, 180, 9252, 0
0, 0, 0, 256
0, 257, 256, 256
11663, -1, 14538, -200
11822, 11822, 11822, 11822
210, 1, 0, 0
256, 0, 0, 256
0, 0, 0, 0
0, -16896, 0, 256
0, 0, 256, 0
-11520, -31958, -25142, 10416
0, 0, 256, -16685
10000, 0, 0, 0
4290, 0, 39, 0
-15421, -15421, -15421, -15421
217, 39, 0, 4097
4306, 4096, 39, 0
4096, 0, 39, 0
10000, 0, 0, 4096
4315, 0, 201, 0
-24320, 20325, 0, 256
180, -17991, 0, 0
0, -23516, -23388, -23388
0, 4096, 0, 1
-24930, -24930, -24930, -24930
0, -30612, 256, 8192
0, 0, 4096, 39
10000, 0, 0, 0
210, 0, 10000, 0
-3027, 0, 4340, 39
0, -247, 256, 21002
2011, 0, 0, 0
10000, 0, 0, 0
10000, 83, 0, 2
17447, 256, 40, 0
4112, 0, 0, 0
10000, 0, 10000, 0
10000, 0, 0, 0
310, 0, 0, 256
10000, 256, 255, 0
1, 0, 0, 0
1, 0, -12784, 20688
0, 10000, 4112, 4135
10000, 0, 0, 1910
256, 0, 0, 0
1, 0, 0, 0
10000, 0, 0, 256
0, 257, 256, 0
17447, 256, 40, 0
4101, 13613, 39, 0
-32767, 1, 0, 1
0, 7323, 0, 0
4112, 0, 39, 256
1, 1, 0, 0
0, 257, 0, 0
-14650, 0, -14840, 198
1, 0, 10000, 0
10000, 0, 0, 0
-32767, 5397, 0, 5397
1, 0, 0, 0
10000, -32425, 10000, 0
11663, 14389, 12, 0
17447, 0, 40, 0
1, 1, 0, 0
-22784, 256, 1, 0
0, 21013, 0, 0
12758, 0, 16, 0
4096, 0, 39, 0
10000, 0, 0, 0
1, 1, 0, 0
17447, 0, 10388, 0
1, 1, 14, 0
1, 0, 0, 0
1, 0, 8, 0
1040, 0, 1, -32768
0, 0, 0, 0
4315, 20046, 20046, 20046
10256, 0, 255, 449
1, 256, 4096, 10019
-25423, 10000, -25444, 10000
384, 0, 0, 0
31233, 0, 31354, 122
-256, 0, 256, 20
4096, -27507, 39, 1
-4331, 8, -25512, 1
0, 0, 0, 0
1, 1, 1, 0
31, 23040, 11521, 52
1, 0, 0, 256
17447, 0, 40, 0
1, 1, 0, 0
4112, 0, 39, 0
-12337, -12337, -12337, -12337
12854, 39, 0, 4096
1, 0, 0, 0
4353, 0, 209, 0
0, 257, 0, 256
-2314, 0, -2314, 0
1, 0, 0, 769
203, 1, -14848, -14650
30208, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 256
15677, 15677, 15677, 15677
-32767, 1, 0, 1
0, 257, 256, 257
-9253, 10000, -9253, -9253
1, 1, 0, 0
1, 1, 0, 0
0, 0, 256, 0
4117, 4112, 4112, 4112
0, 0, 256, 0
0, 256, 0, 0
0, 256, 0, 0
1, 255, 0, 0
1285, 256, 1285, 0
4101, 0, 0, 0
28974, 9766, -32477, 9867
1, 1, 128, 0
1, 0, 0, 10000
12, 444, 13057, 52
-32767, 1, 0, 1
292, 0, 1, 0
0, 454, 32382, -14723
1, -17477, 256, -17664
0, 0, 8, 0
-12800, 256, 0, 0
1, 1, 128, 0
0, 0, 0, 0
-32767, 1, 0, 0
1, 0, 0, 0
21543, 0, 22082, 10000
-12032, 0, 12, -256
255, 1, 0, -14016
-255, 0, 0, 1
1, 1, 128, 0
-13410, 10026, 22033, 4318
10000, 0, 0, 0
1, 0, 0, 0
0, 0, 0, 10000
146, 0, 0, 1
0, 0, 192, 67
1, 1, 0, 0
0, 256, 0, 0
272, -19276, -19276, -19276
4118, 0, 10000, 255
203, 257, -14848, -14650
255, 256, 0, 256
12507, 114, -29330, 29298
-256, 0, 256, 1
1, -12337, -12337, -12337
1, 1, 0, 0
7710, 286, 7710, 7710
185, 0, 0, 0
10000, -7197, -7424, -7197
-17174, 31992, 0, 486
-20601, -20561, -20561, -20561
10739, 10023, 10023, 10023
28974, 0, -32537, 16
10000, -29623, 0, 256
0, 0, 0, 0
1, 1, 14, 0
-19038, 752, 0, -9727
4096, 12032, 39, 0
1, 1, 0, 0
1, 12955, 11520, 12596
0, 0, 256, 0
10000, 0, 0, 0
4135, 39, 0, 256
1, 1, 0, 0
0, -27288, 0, 25857
7937, 0, 32, 0
0, 10000, 0, 256
-6783, 256, 0, 0
24754, 0, 597, 0
5513, 0, 1, 0
4224, 0, 4135, 8231
16, 0, 0, 0
203, 14906, 14906, 14906
13824, 13107, 13107, 13107
256, 0, 0, 1
1, 1, 0, 0
16, 50, 13869, 12592
0, 0, 10000, 0
219, 0, 0, 0
1, 1, 0, 0
1, 1, 0, 0
4112, 0, 39, 0
1, 10189, -24035, -23855
0, 0, 256, 10000
10000, 255, 0, 256
10000, 1, 4096, 39
272, 0, 4096, 257
474, -10496, 256, 256
1, 8, 301, 0
28975, 10000, -32537, 9867
1, 1, 0, 0
1, 1, 0, 0
0, 256, 0, 0
-23979, 208, -24225, 12381
10000, 0, 0, 0
40, 0, 4096, 1
0, 0, 0, 0
14299, 0, -29325, 39
17447, 0, 0, 10000
28946, 0, 14517, 14133
127, 0, 255, 0
-8560, 0, 0, 256
-23616, 0, 10000, 0
0, 1, 0, 0
-512, 254, 0, -512
16, 0, 0, 0
1, 1, 128, 0
-32767, 1, 0, 1
1297, 10000, 5, 0
1, 0, 0, 0
1, 0, 0, 256
10000, 0, 0, 0
1, 256, 0, 1
161, 257, 0, 0
0, 0, 0, 0
0, 0, 0, 0
203, 0, -14848, -14650
0, 256, 0, 0
0, 0, 1536, 1
0, 0, 1, 0
14080, 0, 14135, -14281
0, 0, 0, 0
0, 256, 0, 0
0, -19395, -30464, 0
10022, -1, 0, -256
32509, 0, 32382, 32382
0, 0, 256, 0
1, 1, 0, 0
0, 0, 0, 128
257, 257, 257, 257
10000, 0, 0, 0
10064, 0, 0, 0
10000, 12544, 0, 0
4239, 0, 39, 0
11663, 14389, 12, 0
1, 1, 0, 0
0, 39, 256, 4096
