9031, 0, 0, 17418, 0
9031, 0, 6827, 17418, -7949
9031, -22050, 6827, 17418, -7949
9031, -22050, 6827, 17418, -7949
9031, -22050, 6827, 17418, -7949
30136, 0, 0, -30630, 0
30136, 0, 6580, -30630, 28285
30136, 4887, 6580, -30630, 28285
30136, 4887, 6580, -30630, 28285
30136, 4887, 6580, -30630, 28285
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
20733, 0, 0, 18588, 0
20733, 0, -14505, 18588, -21335
20733, -8472, -14505, 18588, -21335
20733, -8472, -14505, 18588, -21335
20733, -8472, -14505, 18588, -21335
28270, 0, 0, -20918, 0
28270, 0, 18054, -20918, -32446
28270, 24887, 18054, -20918, -32446
28270, 24887, 18054, -20918, -32446
28270, 24887, 18054, -20918, -32446
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 225, 27054, 256, -9727
0, 17222, -7680, 0, 256
220, -9031, -2816, 1, 25088
0, 1, 8, 0, 1
1, 0, 256, 0, 1
384, 257, 0, 1, 0
1, 0, 1, 8, 0
14592, 256, 0, -20610, 256
1, 0, 0, 1, 0
0, 1, 8, 0, 1
-10239, 31313, 7863, -17733, 4784
257, 17222, -7680, 0, 256
256, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 15433
-14136, -28014, -28014, 0, -28014
29405, 10126, 0, 0, 0
29405, 10126, -18980, 12331, 0
29405, 10126, -18980, 12331, 0
29405, 10126, -18980, 12331, 755
29405, 10126, -18980, 12331, 755
-26332, -8325, 0, 0, 0
-26332, -8325, 9430, 20628, 0
-26332, -8325, 9430, 20628, 0
-26332, -8325, 9430, 20628, 12286
-26332, -8325, 9430, 20628, 12286
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
6793, -2485, 0, 0, 0
6793, -2485, 11817, -24929, 0
6793, -2485, 11817, -24929, 0
6793, -2485, 11817, -24929, -12874
6793, -2485, 11817, -24929, -12874
30018, -7066, 0, 0, 0
30018, -7066, 10740, 13899, 0
30018, -7066, 10740, 13899, 0
30018, -7066, 10740, 13899, 8442
30018, -7066, 10740, 13899, 8442
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
-21759, 258, 257, 0, 0
0, 0, 0, 256, 24528
0, 256, 0, 0, 0
-8960, -8739, -8739, -8926, 0
221, 2, -18688, 719, 256
0, 1, 31145, -1471, 134
-6144, 3627, 0, 14849, 11520
4383, 26565, 5031, -5799, -30289
-9252, 43, -11007, 22219, 0
0, 256, 256, 0, 0
17990, 17990, 17990, 17990, 17990
16486, 13312, 12593, 12601, -23148
257, 310, 0, 13824, 0
25664, 12512, 109, 0, -24032
-21759, 258, 257, 0, 19200
0, 0, 1, 0, 1
-2048, 0, 301, 0, 0
485, 14080, 13104, 1, 257
13111, 13360, 13368, 12340, 13364
0, 256, 1, 0, -28785
-23807, 256, 1, 0, 0
-28785, -28785, 143, 0, -6169
0, 0, 1, 0, 13624
0, 0, 0, 256, -3839
