7936, 0, -23145, 0, 3809999512867311616, 165364400, 15
7936, 32234, -23145, -12955, 3809999512867311616, 165364400, 15
7936, 32234, -23145, -12955, 3809999512867311616, 165364400, 15
7936, 32234, -23145, -12955, 3809999512867311616, 165364400, 15
7936, 32234, -23145, -12955, 3809999512867311616, 165364400, 15
-512, 0, 23620, 0, 3809999512867311616, 165364400, 15
-512, 16929, 23620, -10519, 3809999512867311616, 165364400, 15
-512, 16929, 23620, -10519, 3809999512867311616, 165364400, 15
-512, 16929, 23620, -10519, 3809999512867311616, 165364400, 15
-512, 16929, 23620, -10519, 3809999512867311616, 165364400, 15
0, 0, 0, 0, 3809999512867311616, 165364400, 15
-14975, -14429, 0, 0, 0, 0, 0
-14975, -14429, -2097, -7693, 0, 0, 0
-14975, -14429, -2097, -7693, 13422, 15585, 0
-14975, -14429, -2097, -7693, 13422, 15585, -7240
-14975, -14429, -2097, -7693, 13422, 15585, -7240
-8945, 10379, 0, 0, 0, 0, 0
-8945, 10379, 19368, -20917, 0, 0, 0
-8945, 10379, 19368, -20917, -28815, 8867, 0
-8945, 10379, 19368, -20917, -28815, 8867, 8471
-8945, 10379, 19368, -20917, -28815, 8867, 8471
0, 0, 0, 0, 0, 0, 0
