-29695, 7587
-29695, 7587
-29695, 7587
-29695, 7587
-29695, 7587
2692, -6239
2692, -6239
2692, -6239
2692, -6239
2692, -6239
0, 0
0, 0
0, 0
0, 0
0, 0
18713, -24028
18713, -24028
18713, -24028
18713, -24028
18713, -24028
26071, -828
26071, -828
26071, -828
26071, -828
26071, -828
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
0, 256
0, -15360
-31814, 18870
-31814, 18870
-31814, 18870
-31814, 18870
-31814, 18870
-18869, -7761
-14352, -7618
7729, -30120
7729, -30120
7729, -30120
7729, -30120
7729, -30120
-12746, 30534
-12746, 30534
-12746, 30534
-12746, 30534
-12746, 30534
0, 0
0, 0
0, 0
0, 0
0, 0
-18157, 12116
-18157, 12116
-18157, 12116
-18157, 12116
-18157, 12116
-9224, 3139
-9224, 3139
-9224, 3139
-9224, 3139
-9224, 3139
0, 0
0, 0
0, 0
0, 0
0, 0
255, -17664
-12951, 0
