19251, -9394, 0, 0
19251, -9394, -747, 1231
19251, -9394, -747, 1231
19251, -9394, -747, 1231
19251, -9394, -747, 1231
-11945, -20992, 0, 0
14560, -2039, 0, 0
14560, -2039, 25326, 20435
14560, -2039, 25326, 20435
14560, -2039, 25326, 20435
14560, -2039, 25326, 20435
19799, -9611, 0, 0
19799, -9611, 24338, 32093
19799, -9611, 24338, 32093
19799, -9611, 24338, 32093
19799, -9611, 24338, 32093
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
-32034, -1541, 0, 0
21755, -21834, 0, 0
21755, -21834, 29822, 3873
21755, -21834, 29822, 3873
21755, -21834, 29822, 3873
21755, -21834, 29822, 3873
9895, 26983, 0, 0
23097, 23121, 0, 0
23097, 23121, 23062, 0
23097, 23121, 23062, 0
23097, 23121, 23062, -7470
23097, 23121, 23062, -7470
-22930, -22348, 0, 0
