-5658, 140737488342224, 140737353704888, 140737488342208, 23780, 0, 0
-5658, 140737488342224, 140737353704888, 140737488342208, 23780, -19918, 4300
-5658, 140737488342224, 140737353704888, 140737488342208, 23780, -19918, 4300
-5658, 140737488342224, 140737353704888, 140737488342208, 23780, -19918, 4300
-5658, 140737488342224, 140737353704888, 140737488342208, 23780, -19918, 4300
-10096, 140737488342224, 140737353704888, 140737488342208, 193, 0, 0
-10096, 140737488342224, 140737353704888, 140737488342208, 193, 29295, 2983
-10096, 140737488342224, 140737353704888, 140737488342208, 193, 29295, 2983
-10096, 140737488342224, 140737353704888, 140737488342208, 193, 29295, 2983
-10096, 140737488342224, 140737353704888, 140737488342208, 193, 29295, 2983
0, 140737488342224, 140737353704888, 140737488342208, 0, 0, 0
0, 140737488342224, 140737353704888, 140737488342208, 0, 0, 0
0, 140737488342224, 140737353704888, 140737488342208, 0, 0, 0
0, 140737488342224, 140737353704888, 140737488342208, 0, 0, 0
0, 140737488342224, 140737353704888, 140737488342208, 0, 0, 0
-13115, 140737488342224, 140737353704888, 140737488342208, -9827, 0, 0
23910, 24757, 0, 0, 0, 0, 0
23910, 24757, -6885, -3574, 0, 0, 0
