10283, 0, 13601, 0, 0
10283, 0, 13601, -22782, -8143
10283, -12729, 13601, -22782, -8143
10283, -12729, 13601, -22782, -8143
10283, -12729, 13601, -22782, -8143
-7889, 0, -27861, 0, 0
32531, 0, -22617, 0, 0
32531, 0, -22617, 1950, 25007
32531, -28644, -22617, 1950, 25007
32531, -28644, -22617, 1950, 25007
32531, -28644, -22617, 1950, 25007
-6975, 0, -7157, 0, 0
5125, 18225, 0, 0, 0
5125, 18225, -940, -29156, 0
5125, 18225, -940, -29156, 0
5125, 18225, -940, -29156, 28984
5125, 18225, -940, -29156, 28984
27399, 17184, 0, 0, 0
