22542, 15209, 0
22542, 15209, -4597
22542, 15209, -4597
22542, 15209, -4597
22542, 15209, -4597
31854, -11097, 0
31854, -11097, -14085
31854, -11097, -14085
31854, -11097, -14085
31854, -11097, -14085
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
-3662, 15737, 0
-3662, 15737, -15884
-30207, -22970, 0
-30207, -22970, -683
-30207, -22970, -683
-30207, -22970, -683
-30207, -22970, -683
24814, 19074, 0
24814, 19074, -20777
24814, 19074, -20777
24814, 19074, -20777
24814, 19074, -20777
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
-16929, -31301, 0
-16929, -31301, -24313
-16929, -31301, -24313
-16929, -31301, -24313
-16929, -31301, -24313
-9697, -23247, 0
-9697, -23247, -15127
-9697, -23247, -15127
-9697, -23247, -15127
-9697, -23247, -15127
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
-26664, 25177, -32270
-21439, 20173, 0
-21439, 20173, 30710
-21439, 20173, 30710
-21439, 20173, 30710
-21439, 20173, 30710
20508, -17199, 0
20508, -17199, 15956
20508, -17199, 15956
20508, -17199, 15956
20508, -17199, 15956
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
-28378, 4836, 0
-28378, 4836, -18277
-12171, 3264, 0
-12171, 3264, 0
-12171, 3264, 0
-12171, 3264, -24658
-12171, 3264, -24658
9921, -16818, 0
