Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x <= ( n + 0 ) && n == n ) || x <= 0 ), Passed, Yes, "[Or(x <= 0, x <= n)]",  11,  29.60
102, fuzz_spec, ( ( n < ( x * 0 ) || n >= x ) && ( n >= x || n <= x ) ), Passed, Yes, "[Or(Not(0 <= n), n >= x), Or(n >= x, n <= x)]",  9,  31.44
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  28.34
104, fuzz_spec, ( n > ( 0 + n ) || x <= ( 0 * 0 ) || n >= x ), Passed, Yes, "[Or(n >= x, x <= 0)]",  8,  23.99
105, fuzz_spec, ( x < 1 || ( x == ( x * n ) && n < ( 0 * n ) ) || ( n >= 1 && n >= x ) ), Passed, Yes, "[Or(And(n >= 1, n >= x),
    Not(1 <= x),
    And(x == n*x, Not(0 <= n)))]",  7,  22.43
10, fuzz_spec, ( ( y >= ( y - 4 ) || y >= y ) && x <= ( y + 2 ) ), Passed, Yes, "[x <= 2 + y]",  22,  48.21
114, fuzz_spec, ( sn == x ), Passed, Yes, "[]",  11,  34.40
115, fuzz_spec, ( ( sn >= ( x * -1 ) || x == sn ) && sn == ( 0 + x ) ), Passed, Yes, "None",  9,  25.66
116, fuzz_spec, ( sn == ( 0 + x ) ), Passed, Yes, "[]",  10,  30.98
117, fuzz_spec, ( ( sn == x && x == ( sn + 0 ) ) ), Passed, Yes, "[]",  11,  28.28
11, fuzz_spec, ( ( x == y || y >= ( x - 10 ) ) ), Passed, Yes, "[Or(x == y, y >= -10 + x)]",  12,  33.37
120, fuzz_spec, ( i == ( 1 + sn ) && ( sn <= ( 1 * 1 ) || i <= ( 8 + 1 ) ) && i <= ( 8 + 1 ) ), Passed, Yes, "[sn <= 8]",  32,  549.12
121, fuzz_spec, ( sn <= 8 && i == ( sn + 1 ) ), Passed, Yes, "[sn <= 8]",  26,  245.57
122, fuzz_spec, ( ( i == 1 || i <= ( 1 + size ) ) && i == ( 1 + sn ) ), Passed, Yes, "[Or(sn == 0, sn <= size)]",  17,  265.58
128, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  25.70
