Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x <= n || n < ( x * 0 ) ) ), Passed, Yes, "[Or(x <= n, Not(0 <= n))]",  8,  39.51
102, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  36.03
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  38.49
104, fuzz_spec, ( x <= ( 0 + 0 ) || n >= x ), Passed, Yes, "[Or(x <= 0, n >= x)]",  11,  61.27
105, fuzz_spec, ( ( n == ( 1 * n ) && x <= ( 0 - 0 ) ) || n >= ( x - 0 ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  10,  56.27
10, fuzz_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  21,  66.70
114, fuzz_spec, ( x == sn ), Passed, Yes, "[]",  13,  59.66
115, fuzz_spec, ( ( x > ( -1 - -1 ) || x <= ( 1 * 1 ) ) && x == ( sn - 0 ) ), Passed, Yes, "None",  10,  40.53
116, fuzz_spec, ( ( x == sn && sn <= ( 1 + x ) ) ), Passed, Yes, "[]",  12,  46.11
117, fuzz_spec, ( ( sn == x && sn > ( -1 + x ) ) ), Passed, Yes, "None",  10,  37.18
11, fuzz_spec, ( y >= ( x - 10 ) ), Passed, Yes, "[y >= -10 + x]",  15,  58.57
120, fuzz_spec, ( ( sn == ( i + 1 ) || i >= ( sn - 8 ) ) && ( i <= ( 1 + 8 ) || sn <= ( 1 - 1 ) ) && ( i == ( sn + 1 ) || i == ( i - 1 ) ) ), Passed, Yes, "[Or(sn <= 0, sn <= 8)]",  21,  139.08
121, fuzz_spec, ( i == ( sn + 1 ) && ( i < ( 8 - 0 ) || i <= ( 8 + 1 ) ) ), Passed, Yes, "[Or(Not(7 <= sn), sn <= 8)]",  18,  81.06
128, fuzz_spec, ( ( x < ( 1 * x ) || x > ( 1 - x ) ) && ( x > x || x >= ( 1 - 1 ) ) && ( x > ( y + y ) || x == ( 1 * x ) ) ), Passed, Yes, "[Not(x <= 0), x >= 0]",  9,  37.24
129, fuzz_spec, ( ( x >= 1 && y == ( 1 * y ) ) || ( x > ( 1 - x ) && x < ( y - 1 ) ) ), Passed, Yes, "[Or(x >= 1, And(Not(x <= 0), Not(y <= 1 + x)))]",  9,  35.62
12, fuzz_spec, ( x < ( 20 + y ) || ( x == y && x == ( y + x ) ) ), Passed, Yes, "[Or(Not(y <= -20 + x), And(x == y, 0 == y))]",  16,  74.00
130, fuzz_spec, ( x1 >= ( d3 * d2 ) || d1 >= ( 1 + d3 ) || ( x1 == ( d2 * 0 ) && d1 > ( 0 - x2 ) ) ), Failed, Yes, "[Or(x1 >= d2*d3,
    d1 >= 1 + d3,
    And(x1 == 0, Not(d1 <= -1*x2)))]",  10,  39.93
131, fuzz_spec, ( ( d2 > ( d3 - x3 ) || d1 >= ( 1 - x1 ) ) && ( x3 >= 0 || d1 <= ( 0 + x1 ) ) ), Failed, Yes, "[Or(Not(d2 <= d3 + -1*x3), d1 >= 1 + -1*x1),
 Or(d1 <= x1, x3 >= 0)]",  12,  74.27
132, fuzz_spec, ( j >= ( j - i ) ), Passed, Yes, "[i >= 0]",  14,  130.90
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  9,  34.50
13, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  30,  94.12
14, fuzz_spec, ( x < ( 4 + y ) && ( y < ( y - y ) || y == ( y - 0 ) ) && y <= y ), Passed, Yes, "[Not(y <= -4 + x)]",  20,  59.56
15, fuzz_spec, ( ( m <= ( 0 * 0 ) || n > ( m * 1 ) ) ), Passed, Yes, "[Or(m <= 0, Not(n <= m))]",  29,  150.33
16, fuzz_spec, ( ( x >= 0 || m < 0 ) && m >= 0 ), Passed, Yes, "[Or(x >= 0, Not(0 <= m)), m >= 0]",  14,  44.59
