Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x <= 0 || n >= ( 1 * x ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  51.92
102, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  26.04
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  11,  28.26
104, fuzz_spec, ( x < ( 1 - n ) || ( x < ( x - 1 ) && x > ( n - n ) ) || n >= x ), Passed, Yes, "[Or(Not(-1*n <= -1 + x), n >= x)]",  12,  94.27
105, fuzz_spec, ( ( x == ( x * 0 ) && x >= ( 0 - 0 ) ) || n == ( x * 1 ) || n >= x ), Passed, Yes, "[Or(And(x == 0, x >= 0), n >= x, n == x)]",  10,  53.49
10, fuzz_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  18,  79.97
114, fuzz_spec, ( sn == x || ( x >= ( 0 + 0 ) && x < ( -1 - -1 ) ) ), Passed, Yes, "None",  11,  31.84
115, fuzz_spec, ( ( sn == x && x >= ( -1 + x ) ) || ( sn == ( 0 * 0 ) && sn == ( -1 - 0 ) ) ), Passed, Yes, "None",  11,  30.78
116, fuzz_spec, ( sn == ( x - 0 ) ), Passed, Yes, "[]",  11,  34.89
117, fuzz_spec, ( sn == ( 0 + x ) ), Passed, Yes, "[]",  12,  38.59
11, fuzz_spec, ( ( x == y || y >= ( x - 10 ) ) ), Passed, Yes, "[Or(x == y, y >= -10 + x)]",  12,  33.87
120, fuzz_spec, ( ( i == ( 1 + sn ) && sn <= 8 ) ), Passed, Yes, "[sn <= 8]",  23,  103.00
121, fuzz_spec, ( sn == ( i - 1 ) && ( sn < ( 8 + 1 ) || sn == ( sn + sn ) ) ), Passed, Yes, "[Or(Not(10 <= i), i == 1)]",  32,  213.92
122, fuzz_spec, ( ( size >= ( sn * 1 ) || sn == ( 0 - sn ) ) && sn <= ( sn * 1 ) && i == ( 1 + sn ) ), Passed, Yes, "[Or(size >= sn, sn == 0)]",  19,  194.48
128, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(x >= 1, y >= 1, And(x >= 1, Not(x <= y)))]",  8,  24.08
129, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  25.72
12, fuzz_spec, ( x <= ( y + 10 ) ), Passed, Yes, "[x <= 10 + y]",  27,  124.83
130, fuzz_spec, ( ( x2 >= ( d1 * 0 ) || x1 >= ( 0 + d1 ) ) ), Failed, Yes, "[Or(x2 >= 0, x1 >= d1)]",  10,  29.84
131, fuzz_spec, ( ( x3 >= ( x1 * x3 ) || d1 <= ( x1 * 1 ) ) ), Failed, Yes, "[Or(d1 <= x1, x3 >= x1*x3)]",  13,  67.89
132, fuzz_spec, ( i >= ( 0 * 57 ) ), Passed, Yes, "[i >= 0]",  18,  71.86
133, fuzz_spec, ( x == ( n * 1 ) || ( x <= x && n > ( x * 1 ) ) || ( n == ( 1 - 1 ) && x == ( x + 1 ) ) ), Passed, Yes, "[Or(x == n, Not(n <= x))]",  9,  24.91
13, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  18,  45.72
14, fuzz_spec, ( y >= ( x - 2 ) ), Passed, Yes, "[y >= -2 + x]",  14,  41.03
15, fuzz_spec, ( ( n > ( m - 0 ) && x >= m ) || n >= ( n + m ) ), Passed, Yes, "[Or(And(Not(n <= m), x >= m), 0 >= m)]",  17,  46.52
16, fuzz_spec, ( ( n <= ( m + n ) && n <= ( x + n ) ) ), Passed, Yes, "[0 <= m, 0 <= x]",  28,  211.14
17, fuzz_spec, ( n > m || ( m <= x && x <= 1 ) ), Passed, Yes, "[Or(Not(n <= m), And(m <= x, x <= 1))]",  23,  121.55
18, fuzz_spec, ( x >= 1 && n == ( n * 1 ) && m >= 1 ), Passed, Yes, "[x >= 1, m >= 1]",  16,  56.63
19, fuzz_spec, ( ( m <= x && m < ( n - 0 ) ) || ( m < 1 && x <= ( 1 + 0 ) ) || m >= ( m + m ) ), Passed, Yes, "[Or(m <= 0,
    And(Not(1 <= m), x <= 1),
    And(m <= x, Not(n <= m)))]",  24,  161.22
1, fuzz_spec, ( x == x ), Failed, Yes, "[]",  4,  15.53
20, fuzz_spec, ( m >= ( x - x ) && x >= ( x - x ) ), Passed, Yes, "[m >= 0, x >= 0]",  28,  389.67
21, fuzz_spec, ( n > m || m == 1 || ( n <= ( 1 * m ) && x == ( x - 1 ) ) ), Passed, Yes, "[Or(m == 1, Not(n <= m))]",  16,  62.50
22, fuzz_spec, ( ( x >= 1 && n <= ( m * n ) ) || ( n == ( x * 1 ) && n < ( x * 1 ) ) ), Passed, Yes, "[Or(And(x >= 1, n <= m*n), And(n == x, Not(x <= n)))]",  17,  96.80
25, fuzz_spec, ( x >= ( x - x ) || x == 10000 ), Passed, Yes, "[Or(x == 10000, x >= 0)]",  16,  33.79
28, fuzz_spec, ( ( n < ( 0 * x ) || x >= ( 0 + 0 ) ) && x <= ( x - 0 ) && ( x <= ( x + 0 ) || n >= 1 ) ), Passed, Yes, "[Or(Not(0 <= n), x >= 0)]",  12,  57.59
