Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n >= n && x <= n ) || ( x == ( 1 * x ) && x <= 0 ) || ( x < ( 0 - 0 ) && x <= 1 ) ), Passed, Yes, "[Or(x <= n, x <= 0, And(Not(0 <= x), x <= 1))]",  10,  51.96
102, fuzz_spec, ( ( n < ( 0 * 0 ) || x <= n ) ), Passed, Yes, "[Or(Not(0 <= n), x <= n)]",  10,  49.46
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  12,  34.62
104, fuzz_spec, ( ( n > 1 && x <= n ) || x == ( x * 0 ) || x == ( n + 0 ) ), Passed, Yes, "[Or(And(Not(n <= 1), x <= n), x == n, x == 0)]",  11,  55.41
105, fuzz_spec, ( x < 1 || ( x == ( x * n ) && n < ( 0 * n ) ) || ( n >= 1 && n >= x ) ), Passed, Yes, "[Or(And(n >= 1, n >= x),
    Not(1 <= x),
    And(x == n*x, Not(0 <= n)))]",  7,  26.25
10, fuzz_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  24,  118.23
114, fuzz_spec, ( sn >= ( sn - 0 ) && x == ( sn * 1 ) ), Passed, Yes, "[]",  9,  35.22
115, fuzz_spec, ( sn == ( x * 1 ) && sn >= -1 ), Passed, Yes, "None",  10,  48.55
116, fuzz_spec, ( ( sn == ( x * 1 ) && x >= x ) ), Passed, Yes, "[]",  11,  38.86
117, fuzz_spec, ( ( sn == x && x == ( sn + 0 ) ) ), Passed, Yes, "[]",  13,  35.98
11, fuzz_spec, ( ( x <= ( 20 - 10 ) && y > 20 ) || y >= ( x - 10 ) || ( x < ( x + 0 ) && x >= ( 0 - x ) ) ), Passed, Yes, "[Or(And(x <= 10, Not(y <= 20)), y >= -10 + x)]",  17,  50.75
120, fuzz_spec, ( ( i <= ( 8 + 1 ) && i == ( 1 + sn ) ) ), Passed, Yes, "[sn <= 8]",  23,  252.99
121, fuzz_spec, ( ( i < ( 8 + 8 ) || i > ( sn * sn ) ) && i == ( 1 + sn ) ), Failed, Yes, "[Or(Not(15 <= sn), Not(sn <= -1 + sn*sn))]",  33,  487.05
128, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(x >= 1, y >= 1, And(x >= 1, Not(x <= y)))]",  8,  27.91
129, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  29.19
