Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( n >= ( 0 + x ) && x >= ( n - n ) ) || x == ( 0 - 0 ) ), Passed, Yes, "[Or(x == 0, And(n >= x, x >= 0))]",  10,  94.41
102, fuzz_spec, ( ( x <= 1 && x == ( 0 + 0 ) ) || x < 0 || ( n >= n && n >= x ) ), Passed, Yes, "[Or(Not(0 <= x), n >= x, And(x <= 1, x == 0))]",  9,  111.81
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  16,  170.63
104, fuzz_spec, ( ( n >= ( 0 + x ) && x >= ( n - n ) ) || x == ( 0 - 0 ) ), Passed, Yes, "[Or(x == 0, And(n >= x, x >= 0))]",  10,  94.47
105, fuzz_spec, ( ( x <= 0 || n >= ( x - 0 ) ) ), Passed, Yes, "[Or(x <= 0, n >= x)]",  8,  80.22
10, fuzz_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  21,  221.51
114, fuzz_spec, ( x == ( sn * 1 ) || ( x > ( x * 1 ) && x < ( 1 * sn ) ) ), Passed, Yes, "[]",  10,  85.55
115, fuzz_spec, ( x == ( sn * 1 ) && x >= x ), Passed, Yes, "[]",  12,  110.48
116, fuzz_spec, ( ( sn > x && sn <= ( x + -1 ) ) || x == ( sn * 1 ) ), Passed, Yes, "None",  12,  112.92
117, fuzz_spec, ( ( sn == x || sn == -1 ) && sn >= ( sn * 0 ) && x >= x ), Passed, Yes, "None",  11,  95.39
11, fuzz_spec, ( y > ( x - 20 ) ), Passed, Yes, "[Not(y <= -20 + x)]",  16,  183.23
120, fuzz_spec, ( sn == ( i - 1 ) && ( i <= 8 || i == ( i - 0 ) ) && ( i <= ( 1 + 8 ) || i <= ( 0 + 8 ) ) ), Passed, Yes, "[Or(i <= 9, i <= 8)]",  22,  374.65
121, fuzz_spec, ( i > ( sn - 0 ) && ( i <= ( 8 + 1 ) || sn == ( i + 1 ) ) && sn == ( i - 1 ) ), Passed, Yes, "[i <= 9]",  35,  529.82
128, fuzz_spec, ( x >= 1 || ( y >= 1 && x < ( x * 1 ) ) ), Passed, Yes, "[x >= 1]",  9,  97.55
129, fuzz_spec, ( x >= 1 || ( x == ( x - y ) && x == 1 ) ), Passed, Yes, "[Or(x >= 1, And(y == 0, x == 1))]",  8,  88.87
12, fuzz_spec, ( y >= ( x - 10 ) ), Passed, Yes, "[y >= -10 + x]",  24,  281.00
130, fuzz_spec, ( ( x2 >= ( 0 * d2 ) || d2 == x1 ) && ( d2 == ( d2 * d2 ) || d2 == x1 ) && ( d3 >= ( d1 * d2 ) || d3 >= ( 0 - x2 ) ) ), Failed, Yes, "[Or(x2 >= 0, d2 == x1),
 Or(d2 == d2*d2, d2 == x1),
 Or(d3 >= d1*d2, d3 >= -1*x2)]",  16,  361.09
